INFO:root:[session 1][epoch  1][iter 7500] loss: 5.1143, lr: 1.00e-03
INFO:root:			wsddn_cls: 4.4902, wsddn_box 0.0000
INFO:root:[session 1][epoch  1][iter 7600] loss: 5.0428, lr: 1.00e-03
INFO:root:			wsddn_cls: 4.5120, wsddn_box 0.0000
INFO:root:[session 1][epoch  1][iter 7700] loss: 5.0548, lr: 1.00e-03
INFO:root:			wsddn_cls: 2.0323, wsddn_box 0.0000
INFO:root:[session 1][epoch  1][iter 7800] loss: 5.1798, lr: 1.00e-03
INFO:root:			wsddn_cls: 5.1897, wsddn_box 0.0000
INFO:root:[session 1][epoch  1][iter 7900] loss: 4.9298, lr: 1.00e-03
INFO:root:			wsddn_cls: 5.4281, wsddn_box 0.0000
INFO:root:[session 1][epoch  1][iter 8000] loss: 5.1056, lr: 1.00e-03
INFO:root:			wsddn_cls: 5.4170, wsddn_box 0.0000
INFO:root:[session 1][epoch  1][iter 8100] loss: 4.7441, lr: 1.00e-03
INFO:root:			wsddn_cls: 4.2605, wsddn_box 0.0000
INFO:root:[session 1][epoch  1][iter 8200] loss: 5.0969, lr: 1.00e-03
INFO:root:			wsddn_cls: 5.4056, wsddn_box 0.0000
INFO:root:[session 1][epoch  1][iter 8300] loss: 5.1112, lr: 1.00e-03
INFO:root:			wsddn_cls: 2.0509, wsddn_box 0.0000
INFO:root:[session 1][epoch  1][iter 8400] loss: 5.2983, lr: 1.00e-03
INFO:root:			wsddn_cls: 4.4470, wsddn_box 0.0000
INFO:root:[session 1][epoch  1][iter 8500] loss: 4.8920, lr: 1.00e-03
INFO:root:			wsddn_cls: 8.9124, wsddn_box 0.0000
INFO:root:[session 1][epoch  1][iter 8600] loss: 5.1719, lr: 1.00e-03
INFO:root:			wsddn_cls: 4.3893, wsddn_box 0.0000
INFO:root:[session 1][epoch  1][iter 8700] loss: 4.8986, lr: 1.00e-03
INFO:root:			wsddn_cls: 3.3758, wsddn_box 0.0000
INFO:root:[session 1][epoch  1][iter 8800] loss: 5.0705, lr: 1.00e-03
INFO:root:			wsddn_cls: 4.8624, wsddn_box 0.0000
INFO:root:[session 1][epoch  1][iter 8900] loss: 5.2576, lr: 1.00e-03
INFO:root:			wsddn_cls: 5.2506, wsddn_box 0.0000
INFO:root:[session 1][epoch  1][iter 9000] loss: 4.9413, lr: 1.00e-03
INFO:root:			wsddn_cls: 4.2696, wsddn_box 0.0000
INFO:root:[session 1][epoch  1][iter 9100] loss: 5.1381, lr: 1.00e-03
INFO:root:			wsddn_cls: 3.9956, wsddn_box 0.0000
INFO:root:[session 1][epoch  1][iter 9200] loss: 5.1164, lr: 1.00e-03
INFO:root:			wsddn_cls: 4.5042, wsddn_box 0.0000
INFO:root:[session 1][epoch  1][iter 9300] loss: 5.3124, lr: 1.00e-03
INFO:root:			wsddn_cls: 4.1193, wsddn_box 0.0000
INFO:root:[session 1][epoch  1][iter 9400] loss: 5.3949, lr: 1.00e-03
INFO:root:			wsddn_cls: 7.6061, wsddn_box 0.0000
INFO:root:[session 1][epoch  1][iter 9500] loss: 4.5941, lr: 1.00e-03
INFO:root:			wsddn_cls: 6.8752, wsddn_box 0.0000
INFO:root:[session 1][epoch  1][iter 9600] loss: 5.1458, lr: 1.00e-03
INFO:root:			wsddn_cls: 4.1568, wsddn_box 0.0000
INFO:root:[session 1][epoch  1][iter 9700] loss: 4.8850, lr: 1.00e-03
INFO:root:			wsddn_cls: 3.9259, wsddn_box 0.0000
INFO:root:[session 1][epoch  1][iter 9800] loss: 4.6931, lr: 1.00e-03
INFO:root:			wsddn_cls: 3.9146, wsddn_box 0.0000
INFO:root:[session 1][epoch  1][iter 9900] loss: 4.8794, lr: 1.00e-03
INFO:root:			wsddn_cls: 5.4554, wsddn_box 0.0000
INFO:root:[session 1][epoch  1][iter 10000] loss: 5.2623, lr: 1.00e-03
INFO:root:			wsddn_cls: 1.8953, wsddn_box 0.0000
INFO:root:save model: ./output/res101/pascal_voc/fpn_1_1_10021.pth
INFO:root:[session 1][epoch  2][iter    0] loss: 3.9920, lr: 1.00e-03
INFO:root:			wsddn_cls: 3.9920, wsddn_box 0.0000
INFO:root:[session 1][epoch  2][iter  100] loss: 4.9505, lr: 1.00e-03
INFO:root:			wsddn_cls: 1.9585, wsddn_box 0.0000
INFO:root:[session 1][epoch  2][iter  200] loss: 5.1568, lr: 1.00e-03
INFO:root:			wsddn_cls: 3.5032, wsddn_box 0.0000
INFO:root:[session 1][epoch  2][iter  300] loss: 5.2303, lr: 1.00e-03
